unique_id,year,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,cleantech,abbreviation,planning,construction,active,graduate,dropout
83,2024,Talisker Resources Ltd.,Bralorne Mine/King/ Pioneer Mines,Gold Bridge,BC,Under Construction,Mining,100,50.927276,-122.849121,Private,Precious Metal,No,MIN-PM,0,1,1,0,0
88,2019,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,Hudson Hope,BC,In Review,Mining,1360,55.8753,-121.9153,Private,Coal,No,MIN-COAL,1,0,1,0,0
88,2020,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,Hudson Hope,BC,In Review,Mining,1360,55.875311,-121.915283,Private,Coal,No,MIN-COAL,1,0,1,0,0
88,2021,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,Hudson Hope,BC,In Review,Mining,1360,55.875311,-121.915283,Private,Coal,No,MIN-COAL,1,0,1,0,0
88,2022,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,Hudson Hope,BC,In Review,Mining,1360,55.875311,-121.915283,Private,Coal,No,MIN-COAL,1,0,1,0,0
88,2023,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,Hudson Hope,BC,In Review,Mining,1360,55.875311,-121.915283,Private,Coal,No,MIN-COAL,1,0,1,0,0
88,2024,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,Hudson Hope,BC,In Review,Mining,1360,55.875311,-121.915283,Private,Coal,No,MIN-COAL,1,0,1,0,0
89,2017,Canadian Natural Resources Limited,Grouse,County (NE of Lac la Biche),AB,In Review,Energy,1530,55.4662918,-111.7557665,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
89,2018,Canadian Natural Resources Limited,Grouse,County (NE of Lac la Biche),AB,In Review,Energy,1530,55.4662918,-111.7557665,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
89,2019,Canadian Natural Resources Limited,Grouse,County (NE of Lac la Biche),AB,Announced & Planning,Energy,1530,55.4663,-111.7558,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
89,2020,Canadian Natural Resources Limited,Grouse,Hudson Hope,AB,Announced & Planning,Energy,1530,55.4662918,-111.7557665,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
89,2021,Canadian Natural Resources Limited,Grouse,Hudson Hope,AB,Announced & Planning,Energy,1530,55.4662918,-111.7557665,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
