Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,_cost_quintile_bayes,p_bayes,risk_score,years_remaining,p_cox,blended_prob,priority_index,urgency_scale_(0-1),power_ranking
6088,Expander Energy,Slave Lake Bio-Mass/Gas to Liquids Plant (Phase 1),AB,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,35.0,0.158,55.265038,-114.57517,Energy,Waste Biomass,Yes,EN-BIO,0,0.9182477560727055,1.2549336006167915,2.0,0.06345632950990021,0.5763311854475833,0.28816559272379166,0.12005032847654504,0.393818842659168
6089,Hydro One ,St.Clair Transmission Line ,ON,Public,2022,2024,3,Announced & Planning,Announced & Planning,1,0,250.0,0.535,,,Energy,Trans & Distr,No,EN-T&D,2,0.8746862084847985,0.9881749640432593,2.0,0.05031350946852875,0.5449371288782905,0.27246856443914524,0.11347188253875765,0.37235103034247735
6091,"ATCO, Suncor",Suncor and ATCO clean hydrogen project,AB,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,3532.0,0.932,,,Energy,Low Carbon Fuels,Yes,EN-LCF,4,0.9080795818985947,0.9838047529420494,2.0,0.05009666683947622,0.5648864158749473,0.28244320793747363,0.11765214212755112,0.3859927063759888
6092,Suncor Energy Inc.,Suncor PURE Demonstration Facility,AB,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,52.5,0.235,57.380561,-111.509771,Energy,Clean Electricity,Yes,EN-CLEL,0,0.9455720921326908,1.1808447139184974,2.0,0.059824426436066225,0.591273025854041,0.2956365129270205,0.12318130612220145,0.40403633796130517
6096,Troilus Gold Corp.,Troilus,QC,Private,2024,2024,1,In Review,In Review,1,0,449.5,0.654,51.011121,-74.466634,Mining,Other,No,MIN-OTH,2,0.09934953282093764,0.23269713800186304,4.0,0.012082767199519062,0.0644428265723702,0.01611070664309255,0.006035221429606283,0.04107978451526463
6097,Agnico Eagle Mines Limited,Upper Beaver,ON,Private,2022,2024,3,Announced & Planning,In Review,1,0,240.1,0.532,48.165061,-79.764065,Mining,Other,No,MIN-OTH,2,0.7774505589001721,0.4184698127951961,2.0,0.021624101300653176,0.47511997586036453,0.23755998793018226,0.09884209534814987,0.32460882365547866
6100,Probe Gold inc.,Novador,QC,Private,2023,2024,2,Announced & Planning,In Review,1,0,602.0,0.724,48.150028,-77.500793,Mining,Precious Metal,No,MIN-PM,3,0.13603939550756514,0.23269713800186304,3.0,0.012082767199519062,0.08645674418434669,0.028818914728115565,0.01136108683148287,0.05641848124320116
6101,Ville de Quebec,Projet de valorisation de la vapeur de l'incinerateur pour le CHU de Quebec - Universite Laval,QC,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,43.8,0.191,46.8347,-71.2033,Energy,Other,Yes,EN-OTH,0,0.7316670295253875,0.8276855529341924,2.0,0.042317727906173164,0.4559273088777018,0.2279636544388509,0.09482038117850353,0.3114845377980225
6102,Galleon Gold Corp.,West Cache,ON,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,149.6,0.441,48.418089,-81.48394,Mining,Precious Metal,No,MIN-PM,1,0.8507242124579351,0.4184698127951961,2.0,0.021624101300653176,0.5190841679950223,0.25954208399751116,0.10805454167594404,0.354672317467391
6103,"Enbridge Inc., BG Group",Westcoast Connector Gas Transmission Project,BC,Private,2022,2024,3,Announced & Planning,Approved,1,0,6700.0,0.964,,,Energy,Trans & Distr,No,EN-T&D,4,0.0796057316208045,0.22825844439146817,2.0,0.011853660127980059,0.05250490302367473,0.026252451511837364,0.010285511301296686,0.03561714633472351
